lg_nw,r_nw,t_ox,N_sd,eps_ox
12,3,1.5,1.0e+20,7.5
vgs,vds,ids
0.35,0.35,6.401874777189202e-06
0.35,0.4,6.3974840969155326e-06
0.35,0.45,6.389396797959007e-06
0.35,0.5,6.381531315265724e-06
0.35,0.55,6.375284138340277e-06
0.35,0.6,6.371125485537853e-06
0.35,0.65,6.369195300243158e-06
0.35,0.7,6.369524516447599e-06
0.4,0.0,1.9656179761173398e-06
0.4,0.05,3.778277609069917e-06
0.4,0.1,5.960580827176852e-06
0.4,0.15,7.3778906040246185e-06
0.4,0.2,8.02940583583216e-06
0.4,0.25,8.282472645872798e-06
0.4,0.3,8.369501670069778e-06
0.4,0.35,8.393689933849849e-06
0.4,0.4,8.395897240384375e-06
0.4,0.45,8.3916040543147e-06
0.4,0.5,8.38654000772498e-06
0.4,0.55,8.38277478944398e-06
0.4,0.6,8.381024541641427e-06
0.4,0.65,8.381515503207292e-06
0.4,0.7,8.384305542277187e-06
0.45,0.0,2.154676677320494e-06
0.45,0.05,4.321599386656746e-06
0.45,0.1,7.113618785657017e-06
0.45,0.15,9.001526261870305e-06
0.45,0.2,9.892567348974686e-06
0.45,0.25,1.0250962754476146e-05
0.45,0.3,1.0384433223341797e-05
0.45,0.35,1.0431555858764107e-05
0.45,0.4,1.044757014920997e-05
0.45,0.45,1.0453516486943954e-05
0.45,0.5,1.045723776480824e-05
0.45,0.55,1.0461603945666757e-05
0.45,0.6,1.046763571918584e-05
0.45,0.65,1.0475677045796806e-05
0.45,0.7,1.048583281925353e-05
0.5,0.0,2.2868281136585055e-06
0.5,0.05,4.7472640950581e-06
0.5,0.1,8.143205669022394e-06
0.5,0.15,1.054088396152565e-05
0.5,0.2,1.1703607243661584e-05
0.5,0.25,1.2186376424427817e-05
0.5,0.3,1.2378034243391138e-05
0.5,0.35,1.245652760361998e-05
0.5,0.4,1.2493300702232763e-05
0.5,0.45,1.2515704677037076e-05
0.5,0.5,1.253399818706979e-05
0.5,0.55,1.2551976666227136e-05
0.5,0.6,1.2571021430088473e-05
0.5,0.65,1.2591623116527103e-05
0.5,0.7,1.2613951617293391e-05
0.55,0.0,2.367332973193422e-06
0.55,0.05,5.045541993318052e-06
0.55,0.1,9.014929961653603e-06
0.55,0.15,1.1953508131897884e-05
0.55,0.2,1.341945579063729e-05
0.55,0.25,1.4045733190321634e-05
0.55,0.3,1.4307114347644433e-05
0.55,0.35,1.4425017333789026e-05
0.55,0.4,1.44890451266532e-05
0.55,0.45,1.4533670008433057e-05
0.55,0.5,1.4571890741208923e-05
0.55,0.55,1.460855965093522e-05
0.55,0.6,1.4645475197126907e-05
0.55,0.65,1.4683302199140247e-05
0.55,0.7,1.4722291649925285e-05
0.6,0.0,2.40299476050952e-06
0.6,0.05,5.21632241988809e-06
0.6,0.1,9.707096678858108e-06
0.6,0.15,1.3210390459352853e-05
0.6,0.2,1.5011411308752346e-05
0.6,0.25,1.5800984667625944e-05
0.6,0.3,1.614365901419442e-05
0.6,0.35,1.6308693892122584e-05
0.6,0.4,1.6406024969083603e-05
0.6,0.45,1.6478155761340895e-05
0.6,0.5,1.6541187733545208e-05
0.6,0.55,1.660117441866248e-05
0.6,0.6,1.6660391168970218e-05
0.6,0.65,1.6719704286728092e-05
0.6,0.7,1.6779460716040645e-05
0.65,0.0,2.4016890150497495e-06
0.65,0.05,5.267906371878996e-06
0.65,0.1,1.0209303996980827e-05
0.65,0.15,1.42933188703475e-05
0.65,0.2,1.6461868574267062e-05
0.65,0.25,1.7435574695844568e-05
0.65,0.3,1.7871397087386368e-05
0.65,0.35,1.8091119708087877e-05
0.65,0.4,1.8227454605668777e-05
0.65,0.45,1.8331971616862393e-05
0.65,0.5,1.842428670644474e-05
0.65,0.55,1.8511816390278245e-05
0.65,0.6,1.8597377840350948e-05
0.65,0.65,1.8682066824360497e-05
0.65,0.7,1.8766340274758033e-05
0.7,0.0,2.3715360866661003e-06
0.7,0.05,5.214695011597187e-06
0.7,0.1,1.0520116579805353e-05
0.7,0.15,1.5191577157051783e-05
0.7,0.2,1.776046133154045e-05
0.7,0.25,1.8940397594396424e-05
0.7,0.3,1.9481713470755517e-05
0.7,0.35,1.9763666588526033e-05
0.7,0.4,1.9944478736665433e-05
0.7,0.45,2.0085960860519376e-05
0.7,0.5,2.0211711331043195e-05
0.7,0.55,2.033069178525117e-05
0.7,0.6,2.044633248562031e-05
0.7,0.65,2.0559987778199134e-05
0.7,0.7,2.0672237962092937e-05
